id,region,neighbourhood,room_type,price,number_of_reviews,availability_365,price_log,price_log_median,occupancy_proxy,occupancy_ord,reviews_log,popularity_score,potential_revenue_score
606874318315375129,Central,Ratchathewi,Entire home/apt,1100,6,318,7.00397413672268,7.460202536033221,0.12876712328767126,2,1.9459101490553132,3,44.761215216199325
606924011666502017,Central,Khlong Toei,Entire home/apt,1357,6,144,7.213768308118642,7.460202536033221,0.6054794520547946,3,1.9459101490553132,3,67.14182282429898
607446101591712931,Central,Vadhana,Entire home/apt,2374,6,138,7.772752716468742,7.460202536033221,0.6219178082191781,3,1.9459101490553132,3,67.14182282429898
607488167834660142,Central,Vadhana,Entire home/apt,1000,0,365,6.90875477931522,7.460202536033221,0.0,1,0.0,1,7.460202536033221
599063426522556300,Central,Khlong Toei,Entire home/apt,2210,17,83,7.701200180857446,7.460202536033221,0.7726027397260273,3,2.8903717578961645,3,67.14182282429898
599071284560772621,Central,Khlong Toei,Entire home/apt,2197,20,86,7.6953031349635665,7.460202536033221,0.7643835616438356,3,3.044522437723423,3,67.14182282429898
599083477260601530,Central,Khlong Toei,Entire home/apt,4973,26,71,8.51197962436335,7.460202536033221,0.8054794520547945,3,3.295836866004329,3,67.14182282429898
599109616072964220,Central,Khlong Toei,Entire home/apt,2090,24,65,7.645397699428633,7.460202536033221,0.821917808219178,3,3.2188758248682006,3,67.14182282429898
599127544564690519,Central,Khlong Toei,Entire home/apt,2090,30,66,7.645397699428633,7.460202536033221,0.8191780821917808,3,3.4339872044851463,3,67.14182282429898
599179837256951613,Central,Ratchathewi,Entire home/apt,650,0,361,6.478509642208569,7.460202536033221,0.010958904109588996,1,0.0,1,7.460202536033221
588841213406270793,Central,Vadhana,Private room,900,6,330,6.803505257608338,7.313886831633462,0.09589041095890416,2,1.9459101490553132,3,43.88332098980077
588936209707990196,Central,Ratchathewi,Entire home/apt,1760,23,157,7.473637108496206,7.460202536033221,0.5698630136986301,3,3.1780538303479458,3,67.14182282429898
589454608726567071,Central,Khlong Toei,Entire home/apt,1586,25,111,7.369600720526409,7.460202536033221,0.6958904109589041,3,3.258096538021482,3,67.14182282429898
589477536315960211,Central,Khlong Toei,Entire home/apt,2309,38,50,7.745002803515839,7.460202536033221,0.863013698630137,3,3.6635616461296463,3,67.14182282429898
615090840390725843,Central,Khlong Toei,Entire home/apt,3500,0,0,8.160803920954665,7.460202536033221,1.0,3,0.0,1,22.380607608099663
615248043034822980,Central,Vadhana,Entire home/apt,2350,0,364,7.762596048540069,7.460202536033221,0.002739726027397249,1,0.0,1,7.460202536033221
615450924807581054,Central,Khlong Toei,Entire home/apt,3500,19,112,8.160803920954665,7.460202536033221,0.6931506849315068,3,2.995732273553991,3,67.14182282429898
607733835652255906,Central,Vadhana,Entire home/apt,1760,4,150,7.473637108496206,7.460202536033221,0.589041095890411,3,1.6094379124341003,3,67.14182282429898
615705295809778876,Central,Khlong Toei,Shared room,600,1,0,6.398594934535208,6.253828811575473,1.0,3,0.6931471805599453,3,56.28445930417925
599897759477031239,Central,Khlong Toei,Entire home/apt,1330,13,345,7.193685818395112,7.460202536033221,0.0547945205479452,2,2.6390573296152584,3,44.761215216199325
616334020796794685,Central,Vadhana,Entire home/apt,2000,0,0,7.601402334583733,7.460202536033221,1.0,3,0.0,1,22.380607608099663
616470083732125587,Central,Vadhana,Entire home/apt,2466,35,28,7.810758116529357,7.460202536033221,0.9232876712328767,3,3.58351893845611,3,67.14182282429898
616612858844051314,Central,Vadhana,Private room,2000,0,152,7.601402334583733,7.313886831633462,0.5835616438356164,3,0.0,1,21.941660494900386
600426395144446188,Central,Khlong Toei,Entire home/apt,4700,18,347,8.45553053102413,7.460202536033221,0.049315068493150704,2,2.9444389791664403,3,44.761215216199325
607768359675213759,Central,Ratchathewi,Hotel room,1543,1,81,7.342131730584722,7.5307464377155195,0.7780821917808219,3,0.6931471805599453,3,67.77671793943966
