,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
13875,42259723,249764823,Lat Krabang,Southeast,Hotel room,1129,1,0.5985645144039942,Moderate,0.21943796075539132,High
13876,42262329,249764823,Lat Krabang,Southeast,Hotel room,846,1,0.0,Low,0.0,Low
13877,44720364,361506935,Pra Wet,Southeast,Hotel room,1300,1,0.0,Low,0.0,Low
13878,635915151407505672,228376677,Suanluang,Southeast,Hotel room,890,1,0.5985645144039942,Moderate,0.17425084587675524,High
13879,636062942409303229,228376677,Suanluang,Southeast,Hotel room,890,1,0.0,Low,0.0,Low
13880,634245284455532815,460804153,Bang Na,Southeast,Hotel room,1800,1,0.0,Low,0.0,Low
13881,653860748513586175,464141548,Lat Krabang,Southeast,Hotel room,515,1,0.0,Low,0.0,Low
13882,698943666992275794,461147293,Lat Krabang,Southeast,Hotel room,1001,1,0.5985645144039942,Moderate,0.2514276605814028,High
13883,714772335263168818,475721302,Suanluang,Southeast,Hotel room,2000,1,0.0,Low,0.0,Low
13884,730940723526624101,15450556,Bang Na,Southeast,Hotel room,630,3,0.873721775615597,Moderate,0.26809386292803256,High
13885,732160986124650722,482574013,Lat Krabang,Southeast,Hotel room,999,1,0.0,Low,0.0,Low
13886,751824824783240074,482574013,Lat Krabang,Southeast,Hotel room,1600,1,0.5985645144039942,Moderate,0.23472776829258374,High
13887,756899967745178440,482574013,Lat Krabang,Southeast,Hotel room,2000,1,0.0,Low,0.0,Low
13888,775240460573279986,186270866,Suanluang,Southeast,Hotel room,1000,1,0.0,Low,0.0,Low
4139,965722,5265861,Vadhana,Central,Private room,3775,30,0.9549387565401973,Moderate,0.044275079495442,Moderate
4140,313459,1611711,Khlong Toei,Central,Private room,2226,1,0.0,Low,0.0,Low
4141,1452584,578672,Vadhana,Central,Private room,1049,3,0.5715166463131642,Moderate,0.009752640509747872,Low
4142,1453230,7795450,Vadhana,Central,Private room,1758,1,0.0,Low,0.0,Low
4143,2714351,13882126,Khlong Toei,Central,Private room,1050,1,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4144,3761988,19266319,Vadhana,Central,Private room,630,1,1.5450299359759827,High,0.2072749087913446,High
4145,3772304,19266319,Vadhana,Central,Private room,800,1,1.3400630129987101,High,0.10169279614963159,High
4146,3795275,19490163,Vadhana,Central,Private room,1250,30,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4147,4443639,22945905,Khlong Toei,Central,Private room,5000,31,0.0,Low,0.0,Low
4148,2996027,15270186,Parthum Wan,Central,Private room,1586,1,1.3847443439972182,High,0.10674221361155395,High
4149,3847105,19831807,Khlong Toei,Central,Private room,1000,3,0.0,Low,0.0,Low
4150,3891902,20139716,Parthum Wan,Central,Private room,2000,7,1.4357355561314313,High,0.1289485913585935,High
4151,3907522,20207309,Vadhana,Central,Private room,2000,1,0.0,Low,0.0,Low
4152,3908465,12442555,Vadhana,Central,Private room,1682,2,0.9549387565401973,Moderate,0.027859197535202357,Moderate
4153,3917160,20291792,Vadhana,Central,Private room,3500,1,0.0,Low,0.0,Low
4154,3917240,20291792,Vadhana,Central,Private room,3500,1,0.0,Low,0.0,Low
4155,3428407,371834,Vadhana,Central,Private room,1000,1,0.0,Low,0.0,Low
4156,4639960,24021888,Khlong Toei,Central,Private room,4871,1,1.212171009632604,High,0.0851221698303121,High
4157,4639962,24021888,Khlong Toei,Central,Private room,4871,1,1.4816574461023837,High,0.15610517261406112,High
4158,4663946,24020705,Vadhana,Central,Private room,1800,1,0.0,Low,0.0,Low
4159,4681385,596717,Vadhana,Central,Private room,1200,1,0.0,Low,0.0,Low
4160,4206398,21493585,Parthum Wan,Central,Private room,1943,1,1.212171009632604,High,0.05918597758997901,Moderate
4161,4218505,21750446,Vadhana,Central,Private room,1943,2,0.814113811661196,Moderate,0.027859197535202357,Moderate
4162,4237812,15270186,Parthum Wan,Central,Private room,1986,1,0.814113811661196,Moderate,0.01902987306674122,Moderate
4163,4783950,15270186,Parthum Wan,Central,Private room,1700,1,0.9549387565401973,Moderate,0.03626627760946124,Moderate
4164,4795607,15270186,Parthum Wan,Central,Private room,1729,1,1.1176936258390873,High,0.044275079495442,Moderate
4165,5071486,659899,Vadhana,Central,Private room,600,30,0.9549387565401973,Moderate,0.03626627760946124,Moderate
4166,5145760,26604074,Khlong Toei,Central,Private room,590,30,0.0,Low,0.0,Low
4167,5149083,11925658,Vadhana,Central,Private room,1800,3,0.0,Low,0.0,Low
4168,5164564,9219499,Khlong Toei,Central,Private room,866,1,0.5715166463131642,Moderate,0.009752640509747872,Low
4169,5620403,5214208,Khlong Toei,Central,Private room,1004,2,1.531910684253505,High,0.1936688128972358,High
4170,5672952,29413730,Vadhana,Central,Private room,2000,1,0.0,Low,0.0,Low
4171,5274007,27301982,Vadhana,Central,Private room,1499,1,1.2465570681404392,High,0.07275424129277352,Moderate
4172,6400420,32918761,Vadhana,Central,Private room,2000,7,0.0,Low,0.0,Low
4173,5309746,27505783,Vadhana,Central,Private room,1500,30,0.5715166463131642,Moderate,0.009752640509747872,Low
4174,6802195,34958023,Vadhana,Central,Private room,1200,1,0.9549387565401973,Moderate,0.027859197535202357,Moderate
4175,6802330,34958023,Khlong Toei,Central,Private room,1200,1,0.5715166463131642,Moderate,0.009752640509747872,Low
4176,6639879,24897510,Vadhana,Central,Private room,2357,1,0.0,Low,0.0,Low
4177,7282157,34958023,Vadhana,Central,Private room,800,30,0.0,Low,0.0,Low
4178,7876711,40650777,Vadhana,Central,Private room,2628,2,0.0,Low,0.0,Low
4179,7423504,32317869,Vadhana,Central,Private room,900,1,1.2465570681404392,High,0.07908005789038217,Moderate
4180,7136142,10246374,Khlong Toei,Central,Private room,1899,3,0.0,Low,0.0,Low
4181,7424197,32317869,Vadhana,Central,Private room,1000,1,1.1702595432342837,High,0.06612860994564192,Moderate
4182,7424353,32317869,Vadhana,Central,Private room,570,1,1.5706008933927729,High,0.21823408049116924,High
4183,7429682,38506657,Vadhana,Central,Private room,950,30,0.0,Low,0.0,Low
4184,8055144,42521288,Vadhana,Central,Private room,5000,3,0.0,Low,0.0,Low
4185,8214376,34249896,Vadhana,Central,Private room,1500,15,0.0,Low,0.0,Low
4186,7566787,39673488,Vadhana,Central,Private room,2000,1,0.0,Low,0.0,Low
4187,8690770,29493816,Ratchathewi,Central,Private room,1499,7,0.0,Low,0.0,Low
4188,7717620,24021888,Khlong Toei,Central,Private room,4871,1,1.4357355561314313,High,0.16163865472177402,High
4189,8393348,44226491,Ratchathewi,Central,Private room,770,1,1.1702595432342837,High,0.1936688128972358,High
4190,7777667,40835603,Vadhana,Central,Private room,1643,30,0.0,Low,0.0,Low
4191,8810615,44809533,Vadhana,Central,Private room,5000,1,0.5715166463131642,Moderate,0.027859197535202357,Moderate
4192,10000742,51374914,Ratchathewi,Central,Private room,930,1,1.1702595432342837,High,0.05918597758997901,Moderate
4193,9118829,47168014,Khlong Toei,Central,Private room,2450,1,0.9549387565401973,Moderate,0.027859197535202357,Moderate
4194,9120644,47168014,Khlong Toei,Central,Private room,3450,1,0.0,Low,0.0,Low
4195,9138860,44610525,Khlong Toei,Central,Private room,1400,1,1.3000283197738642,High,0.09641479086722313,High
4196,10146989,47060002,Ratchathewi,Central,Private room,2314,1,1.4579982063327925,High,0.16163865472177402,High
4197,9210468,47901489,Vadhana,Central,Private room,1385,30,0.5715166463131642,Moderate,0.009752640509747872,Low
4198,9243710,47060002,Ratchathewi,Central,Private room,1200,1,1.1702595432342837,High,0.05918597758997901,Moderate
4199,9244540,47060002,Ratchathewi,Central,Private room,750,1,1.0491876454521514,High,0.044275079495442,Moderate
4200,9271357,42594121,Vadhana,Central,Private room,2719,1,1.3968136765663242,High,0.12487900487573406,High
4201,9738573,20785560,Khlong Toei,Central,Private room,1557,4,1.427164550307348,High,0.1401839712727138,High
4202,9326262,10246374,Khlong Toei,Central,Private room,1999,3,1.212171009632604,High,0.06612860994564192,Moderate
4203,9796666,22869250,Khlong Toei,Central,Private room,1180,1,1.0491876454521514,High,0.044275079495442,Moderate
4204,10370766,44610525,Khlong Toei,Central,Private room,1200,1,1.5159979755753084,High,0.19060201939284818,High
4205,9845391,47060002,Ratchathewi,Central,Private room,2114,1,1.212171009632604,High,0.06612860994564192,Moderate
4206,9478910,49130820,Vadhana,Central,Private room,1999,1,0.0,Low,0.0,Low
4207,9517341,29493816,Vadhana,Central,Private room,3799,7,0.0,Low,0.0,Low
4208,9517589,29493816,Vadhana,Central,Private room,2299,7,0.0,Low,0.0,Low
4209,9890452,42271997,Vadhana,Central,Private room,3463,1,0.0,Low,0.0,Low
4210,9517779,29493816,Parthum Wan,Central,Private room,3299,7,0.0,Low,0.0,Low
4211,10579731,44809802,Vadhana,Central,Private room,900,1,1.5836265322879595,High,0.22519404892911954,High
4212,10660455,28894148,Khlong Toei,Central,Private room,1400,1,1.0491876454521514,High,0.044275079495442,Moderate
4213,9999946,51367212,Vadhana,Central,Private room,1732,1,0.0,Low,0.0,Low
