,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
8710,Southwest,Sathon,100.52107,13.71017,Entire home/apt,2000,43,41,3.784189633918261
8718,Southwest,Bang Rak,100.52764,13.7269,Entire home/apt,3462,11,235,2.4849066497880004
8721,Southwest,Sathon,100.51107,13.71485,Entire home/apt,930,10,278,2.3978952727983707
8750,Southwest,Yan na wa,100.54694,13.6765,Entire home/apt,3687,0,0,0.0
8751,Southwest,Yan na wa,100.54527,13.67725,Entire home/apt,3687,0,0,0.0
8752,Southwest,Yan na wa,100.54754,13.67674,Entire home/apt,3687,0,0,0.0
8754,Southwest,Yan na wa,100.54722,13.67769,Entire home/apt,3687,0,0,0.0
8755,Southwest,Sathon,100.548203,13.72023,Private room,1286,10,1,2.3978952727983707
8756,Southwest,Sathon,100.548203,13.720214,Private room,1286,38,8,3.6635616461296463
8757,Southwest,Yan na wa,100.54687,13.6759,Entire home/apt,3687,0,0,0.0
8758,Southwest,Yan na wa,100.54747,13.67604,Entire home/apt,3687,0,0,0.0
8760,Southwest,Yan na wa,100.54736,13.67583,Entire home/apt,3687,0,0,0.0
8761,Southwest,Yan na wa,100.54675,13.67789,Entire home/apt,3687,0,0,0.0
8763,Southwest,Yan na wa,100.54552,13.67753,Entire home/apt,3687,0,0,0.0
8769,Southwest,Bang Rak,100.52416,13.72801,Private room,3500,0,0,0.0
8785,Southwest,Bang Rak,100.5235,13.72551,Hotel room,1099,0,1,0.0
8797,Southwest,Bang Rak,100.52159,13.72672,Hotel room,1350,0,1,0.0
8798,Southwest,Bang Rak,100.52345,13.72459,Hotel room,1500,0,0,0.0
8817,Southwest,Bang Rak,100.52287,13.72693,Hotel room,1099,4,0,1.6094379124341003
8823,Southwest,Thung khru,100.50634,13.6013,Entire home/apt,3400,0,0,0.0
8826,Southwest,Bang Rak,100.53585,13.72704,Shared room,1790,0,184,0.0
8837,Southwest,Bang Rak,100.52421,13.72986,Entire home/apt,1700,0,185,0.0
8840,Southwest,Nong Khaem,100.3439,13.7062,Entire home/apt,2321,0,0,0.0
8846,Southwest,Bang Rak,100.5196,13.72429,Entire home/apt,1850,71,306,4.276666119016055
8855,Southwest,Bang Rak,100.53564,13.72745,Shared room,1690,0,274,0.0
8856,Southwest,Bang Rak,100.53565,13.72708,Shared room,2290,0,274,0.0
8860,Southwest,Sathon,100.53204,13.71652,Shared room,1312,0,0,0.0
8876,Southwest,Yan na wa,100.53186,13.69696,Hotel room,990,14,6,2.70805020110221
8885,Southwest,Bang Kho laen,100.49507,13.69586,Entire home/apt,3390,0,0,0.0
8908,Southwest,Sathon,100.51943,13.71342,Entire home/apt,2199,20,45,3.044522437723423
8912,Southwest,Sathon,100.51983,13.7123,Entire home/apt,1500,8,155,2.1972245773362196
8914,Southwest,Bang Rak,100.52172,13.72239,Private room,990,3,365,1.3862943611198906
8927,Southwest,Sathon,100.548195,13.720209,Hotel room,1286,5,1,1.791759469228055
8941,Southwest,Bang Rak,100.52627,13.73288,Shared room,350,1,1,0.6931471805599453
8959,Southwest,Phasi Charoen,100.45811,13.71598,Entire home/apt,2000,10,185,2.3978952727983707
8961,Southwest,Bangkok Yai,100.48544,13.73752,Private room,850,1,277,0.6931471805599453
8974,Southwest,Phasi Charoen,100.46514,13.72635,Private room,304,16,35,2.833213344056216
8978,Southwest,Phasi Charoen,100.45005,13.72499,Private room,550,0,0,0.0
8981,Southwest,Yan na wa,100.5438,13.67371,Entire home/apt,3687,0,0,0.0
8986,Southwest,Bang Khun thain,100.4272,13.65817,Shared room,700,0,96,0.0
8992,Southwest,Bang Khae,100.41554,13.69835,Entire home/apt,400,0,185,0.0
8993,Southwest,Samphanthawong,100.50571,13.73882,Shared room,776,0,186,0.0
9001,Southwest,Bang Rak,100.52945,13.72564,Entire home/apt,4000,19,10,2.995732273553991
9031,Southwest,Bang Rak,100.53033,13.72376,Entire home/apt,1200,0,0,0.0
9037,Southwest,Rat Burana,100.50074,13.65758,Entire home/apt,1057,4,365,1.6094379124341003
9038,Southwest,Nong Khaem,100.36236,13.70288,Entire home/apt,500,1,185,0.6931471805599453
9041,Southwest,Bang Khae,100.42332,13.6941,Entire home/apt,3687,0,0,0.0
9042,Southwest,Bang Khae,100.42347,13.69359,Entire home/apt,3687,0,0,0.0
9043,Southwest,Bang Khae,100.4235,13.69507,Entire home/apt,3687,0,0,0.0
9044,Southwest,Bang Khae,100.42297,13.69385,Entire home/apt,3687,0,0,0.0
9045,Southwest,Bang Khae,100.42127,13.69396,Entire home/apt,3687,0,0,0.0
9046,Southwest,Bang Khae,100.42133,13.69553,Entire home/apt,3687,0,0,0.0
9047,Southwest,Bang Khae,100.42347,13.69366,Entire home/apt,3687,0,0,0.0
9048,Southwest,Bang Khae,100.42194,13.69382,Entire home/apt,3687,0,0,0.0
9049,Southwest,Bang Khae,100.42338,13.69432,Entire home/apt,3687,0,0,0.0
9050,Southwest,Bang Khae,100.42191,13.69374,Entire home/apt,3687,0,0,0.0
9069,Southwest,Bang Rak,100.51666,13.73113,Private room,800,13,0,2.6390573296152584
9070,Southwest,Yan na wa,100.54643,13.70182,Shared room,715,0,275,0.0
9090,Southwest,Bang Rak,100.52297,13.72252,Entire home/apt,1050,0,365,0.0
9093,Southwest,Bang Kho laen,100.50626,13.70182,Entire home/apt,2214,0,192,0.0
9107,Southwest,Khlong San,100.4954,13.72443,Private room,1000,1,279,0.6931471805599453
